,SA2 Name,Unoccupied Rate,Median Income,Median Rent,Median Mortgage,Purchasing Affordability Index,Rental Affordability Index,Building Approval,Unemplotment Rate
15,Swanbourne - Mount Claremont,0.123085649,3513.888889,533.7837838,782.3112991,134.7502801,197.4894515,43,0.049391553
75,Tapping - Ashby - Sinagra,0.077196653,2181.988743,456.514658,508.8823454,128.6341782,143.3900558,36,0.067284391
40,The Vines,0.093573541,2231.578947,412.0098039,537.6296951,124.523197,162.4897461,218,0.066372495
102,Thornlie,0.07582833,1677.699229,361.8055556,410.9230712,122.4827234,139.1105695,74,0.09109346
63,Trigg - North Beach - Watermans Bay,0.112329579,2505.357143,401.5625,629.0410959,119.484585,187.1706504,65,0.057128284
64,Tuart Hill - Joondanna,0.121757705,2000,345.78125,449.4555673,133.4948421,173.5201085,103,0.072294372
78,Two Rocks,0.120649652,1581.395349,336.9047619,478.833407,99.0780087,140.8168296,104,0.11419985
90,Victoria Park - Lathlain - Burswood,0.150540504,2185.698448,372.8670635,487.5240237,134.4978919,175.8561156,74,0.080234834
146,Waikiki,0.103035144,1776.376147,350.2906977,413.2459797,128.9577806,152.1344551,54,0.10024855
76,Wanneroo,0.069913983,2003.791469,401.8488746,481.0137453,124.9730276,149.5929138,208,0.07337921
147,Warnbro,0.096471127,1615.327381,339.3203883,394.1600577,122.9445259,142.8143521,5,0.122286822
21,Wembley - West Leederville - Glendalough,0.101561569,2468.317972,323.6213235,496.2234757,149.226191,228.8153894,155,0.068080808
65,Wembley Downs - Churchlands - Woodlands,0.09654204,2641.638225,424.6710526,625.8777009,126.6208185,186.6130179,135,0.057933042
138,Willagee,0.101357466,1908.928571,278.125,488.970066,117.1193517,205.9069021,65,0.080521817
96,Willetton,0.060601315,2077.29682,418.7150838,478.173516,130.3269682,148.8336747,35,0.0930082
139,Winthrop,0.079754601,2451.183432,575,516.1643836,142.4652791,127.8878312,6,0.067640521
54,Woodvale,0.055081001,2432.601881,498.0314961,492.8767123,148.0655397,146.5330145,51,0.063506931
79,Yanchep,0.125733445,1769.425676,360.2355072,481.4684065,110.2518245,147.3557415,231,0.092210628
121,Yangebup,0.074377346,2021.929825,363.2246377,461.0834997,131.5551191,166.9982937,17,0.08286206
66,Yokine - Coolbinia - Menora,0.11679022,2149.061033,351.2820513,481.3017175,133.9530457,183.5329495,189,0.067032967
,,,,,,,,19953,12.11400341
