,SA2 Name,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Total,Median
58,Innaloo - Doubleview,33.0,53.0,239.0,74.0,88.0,47.0,89.0,28.0,50.0,27.0,85.0,54.0,116.0,81.0,249.0,114.0,608.0,212.0,71.0,21.0,6.0,18.0,2363.0,411.8473895582329
59,Karrinyup - Gwelup - Carine,8.0,14.0,41.0,25.0,24.0,8.0,24.0,9.0,25.0,8.0,43.0,22.0,63.0,39.0,88.0,27.0,172.0,148.0,110.0,52.0,11.0,8.0,969.0,459.8837209302326
60,Nollamara - Westminster,36.0,34.0,176.0,61.0,96.0,57.0,75.0,27.0,64.0,69.0,253.0,209.0,524.0,396.0,516.0,120.0,206.0,10.0,4.0,0.0,0.0,0.0,2933.0,364.79007633587787
61,Scarborough,13.0,16.0,45.0,16.0,44.0,23.0,52.0,44.0,93.0,73.0,225.0,121.0,264.0,125.0,294.0,109.0,512.0,279.0,146.0,64.0,31.0,44.0,2633.0,413.86054421768705
62,Stirling - Osborne Park,16.0,9.0,54.0,21.0,33.0,20.0,54.0,40.0,110.0,106.0,225.0,88.0,137.0,87.0,103.0,40.0,171.0,64.0,36.0,18.0,6.0,9.0,1447.0,335.22727272727275
63,Trigg - North Beach - Watermans Bay,15.0,9.0,70.0,35.0,20.0,26.0,17.0,12.0,16.0,11.0,36.0,13.0,47.0,33.0,56.0,16.0,130.0,67.0,39.0,23.0,13.0,22.0,726.0,401.5625
64,Tuart Hill - Joondanna,26.0,13.0,84.0,27.0,76.0,39.0,54.0,55.0,129.0,146.0,341.0,160.0,278.0,191.0,218.0,66.0,240.0,59.0,30.0,5.0,0.0,8.0,2245.0,345.78125
65,Wembley Downs - Churchlands - Woodlands,8.0,4.0,9.0,3.0,11.0,11.0,21.0,14.0,22.0,26.0,81.0,48.0,84.0,35.0,76.0,28.0,145.0,80.0,69.0,56.0,37.0,35.0,903.0,424.67105263157896
66,Yokine - Coolbinia - Menora,14.0,16.0,50.0,41.0,73.0,30.0,51.0,41.0,176.0,83.0,259.0,130.0,195.0,131.0,160.0,66.0,262.0,96.0,40.0,13.0,7.0,13.0,1947.0,351.28205128205127
67,Alexander Heights - Koondoola,23.0,13.0,77.0,21.0,44.0,18.0,27.0,13.0,29.0,24.0,72.0,52.0,133.0,65.0,96.0,49.0,96.0,17.0,0.0,0.0,0.0,3.0,872.0,354.4172932330827
68,Butler - Merriwa - Ridgewood,19.0,10.0,42.0,27.0,65.0,53.0,49.0,43.0,39.0,71.0,304.0,198.0,424.0,256.0,349.0,104.0,166.0,23.0,4.0,3.0,0.0,3.0,2252.0,362.1757075471698
69,Carramar,13.0,7.0,21.0,14.0,22.0,25.0,34.0,17.0,22.0,16.0,47.0,34.0,112.0,89.0,185.0,57.0,205.0,33.0,13.0,3.0,0.0,0.0,969.0,401.6216216216216
70,Clarkson,7.0,5.0,38.0,17.0,33.0,24.0,35.0,8.0,37.0,24.0,107.0,107.0,250.0,199.0,285.0,98.0,148.0,11.0,3.0,0.0,0.0,3.0,1439.0,378.5175879396985
71,Girrawheen,10.0,15.0,85.0,20.0,31.0,16.0,34.0,16.0,43.0,50.0,185.0,88.0,184.0,74.0,64.0,13.0,12.0,6.0,6.0,0.0,0.0,7.0,959.0,321.6216216216216
72,Madeley - Darch - Landsdale,6.0,3.0,10.0,4.0,10.0,7.0,12.0,5.0,12.0,3.0,29.0,18.0,54.0,48.0,131.0,49.0,439.0,142.0,17.0,3.0,3.0,0.0,1005.0,473.23462414578586
73,Marangaroo,7.0,4.0,40.0,15.0,26.0,12.0,17.0,4.0,9.0,6.0,42.0,24.0,95.0,52.0,103.0,31.0,86.0,14.0,3.0,0.0,0.0,0.0,590.0,373.5526315789474
74,Mindarie - Quinns Rocks - Jindalee,7.0,3.0,20.0,14.0,20.0,7.0,24.0,6.0,26.0,13.0,68.0,55.0,144.0,103.0,163.0,68.0,262.0,146.0,55.0,29.0,10.0,10.0,1253.0,417.9447852760736
