,SA2 Name,1-149(75),150-299(225),300-399(350),400-499(450),500-649(575),650-799(725),800-999(900),"1,000-1,249(1,125)","1,250-1,499(1,375)","1,500-1,749(1,625)","1,750-1,999(1875)","2,000-2,499(2,250)","2,500-2,999(2,750)","3,000-3,499(3,250)","3,500-3,999(3,750)","4,000-4,499(4,250)","4,500-4,999(4,750)","5,000-5,999 (5,500)","6,000-7,999(7000)","8,000 or more(8000)",Total
22,Wembley - West Leederville - Glendalough,22.0,25.0,20.0,61.0,76.0,151.0,164.0,236.0,225.0,203.0,210.0,434.0,316.0,234.0,299.0,220.0,231.0,251.0,210.0,10.0,3598.0
23,Bassendean - Eden Hill - Ashfield,18.0,26.0,33.0,100.0,99.0,240.0,180.0,249.0,246.0,247.0,240.0,490.0,401.0,255.0,161.0,110.0,86.0,58.0,49.0,3.0,3291.0
24,Bayswater - Embleton - Bedford,29.0,47.0,27.0,150.0,115.0,302.0,270.0,347.0,348.0,305.0,286.0,704.0,584.0,445.0,365.0,217.0,200.0,165.0,108.0,4.0,5018.0
25,Maylands,10.0,29.0,23.0,52.0,75.0,150.0,125.0,192.0,183.0,147.0,168.0,346.0,277.0,207.0,165.0,105.0,106.0,70.0,56.0,7.0,2493.0
26,Morley,30.0,43.0,39.0,147.0,134.0,477.0,346.0,439.0,443.0,333.0,317.0,683.0,451.0,295.0,175.0,94.0,86.0,65.0,34.0,3.0,4634.0
27,Noranda,11.0,13.0,16.0,58.0,47.0,152.0,126.0,171.0,167.0,132.0,133.0,257.0,176.0,137.0,111.0,56.0,56.0,44.0,25.0,0.0,1888.0
28,Chidlow,0.0,8.0,3.0,21.0,17.0,42.0,32.0,50.0,49.0,41.0,47.0,92.0,71.0,42.0,24.0,17.0,16.0,9.0,5.0,0.0,586.0
29,Glen Forrest - Darlington,8.0,10.0,4.0,33.0,28.0,88.0,102.0,142.0,110.0,90.0,108.0,231.0,195.0,121.0,102.0,101.0,90.0,57.0,37.0,6.0,1663.0
30,Helena Valley - Koongamia,3.0,9.0,10.0,24.0,27.0,84.0,65.0,98.0,80.0,76.0,103.0,191.0,134.0,77.0,79.0,44.0,40.0,35.0,22.0,0.0,1201.0
32,Mundaring,13.0,19.0,18.0,72.0,73.0,214.0,159.0,221.0,192.0,172.0,199.0,445.0,348.0,207.0,159.0,109.0,87.0,74.0,34.0,7.0,2822.0
33,Swan View - Greenmount - Midvale,18.0,26.0,27.0,101.0,81.0,241.0,176.0,249.0,244.0,200.0,201.0,387.0,238.0,129.0,103.0,48.0,51.0,35.0,17.0,8.0,2580.0
