,SA2 Name,1-149,150-299,300-449,450-599,600-799,800-999,"1,000-1,199","1,200-1,399","1,400-1,599","1,600-1,799","1,800-1,999","2,000-2,199","2,200-2,399","2,400-2,599","2,600-2,999","3,000-3,999","4,000-4,999","5,000 and over",Total,Median
55,Sorrento - Marmion,17.0,10.0,30.0,24.0,39.0,42.0,52.0,60.0,61.0,52.0,39.0,109.0,18.0,52.0,73.0,205.0,146.0,129.0,1158.0,2501.923076923077
56,Woodvale,28.0,20.0,30.0,25.0,47.0,54.0,83.0,85.0,74.0,83.0,70.0,144.0,60.0,80.0,148.0,277.0,73.0,20.0,1401.0,2141.6666666666665
57,Balcatta - Hamersley,16.0,24.0,34.0,36.0,74.0,83.0,115.0,125.0,145.0,183.0,139.0,240.0,111.0,101.0,185.0,225.0,42.0,36.0,1914.0,1976.2589928057555
58,Balga - Mirrabooka,11.0,31.0,72.0,42.0,81.0,117.0,162.0,217.0,273.0,310.0,233.0,340.0,134.0,56.0,114.0,75.0,29.0,19.0,2316.0,1698.3870967741937
59,Dianella,31.0,32.0,47.0,54.0,89.0,117.0,179.0,175.0,195.0,210.0,145.0,336.0,146.0,127.0,251.0,404.0,163.0,96.0,2797.0,2074.404761904762
60,Innaloo - Doubleview,19.0,22.0,44.0,27.0,56.0,76.0,103.0,108.0,118.0,133.0,113.0,270.0,147.0,135.0,286.0,422.0,151.0,76.0,2306.0,2287.7551020408164
61,Karrinyup - Gwelup - Carine,38.0,35.0,47.0,50.0,61.0,84.0,154.0,140.0,105.0,138.0,109.0,264.0,103.0,122.0,248.0,595.0,261.0,161.0,2715.0,2449.1803278688526
62,Nollamara - Westminster,9.0,15.0,40.0,23.0,56.0,90.0,112.0,163.0,188.0,292.0,260.0,351.0,177.0,91.0,181.0,128.0,30.0,18.0,2224.0,1895.7692307692307
63,Scarborough,24.0,18.0,40.0,21.0,54.0,73.0,102.0,110.0,136.0,152.0,105.0,244.0,105.0,111.0,210.0,363.0,148.0,91.0,2107.0,2179.5081967213114
64,Stirling - Osborne Park,15.0,10.0,32.0,29.0,52.0,80.0,103.0,107.0,119.0,142.0,80.0,173.0,81.0,91.0,147.0,266.0,121.0,102.0,1750.0,2123.121387283237
65,Trigg - North Beach - Watermans Bay,6.0,6.0,19.0,16.0,21.0,15.0,44.0,30.0,19.0,37.0,28.0,89.0,21.0,29.0,63.0,146.0,87.0,125.0,801.0,2733.3333333333335
66,Tuart Hill - Joondanna,15.0,14.0,29.0,29.0,41.0,69.0,86.0,125.0,138.0,141.0,117.0,197.0,78.0,72.0,138.0,170.0,59.0,34.0,1552.0,1952.9914529914531
67,Wembley Downs - Churchlands - Woodlands,18.0,16.0,33.0,23.0,38.0,47.0,56.0,69.0,67.0,69.0,62.0,161.0,51.0,70.0,97.0,342.0,195.0,203.0,1617.0,2719.5876288659792
68,Yokine - Coolbinia - Menora,19.0,21.0,26.0,32.0,61.0,54.0,94.0,110.0,136.0,146.0,114.0,197.0,82.0,79.0,137.0,243.0,134.0,120.0,1805.0,2091.3705583756346
69,Alexander Heights - Koondoola,14.0,17.0,56.0,47.0,76.0,85.0,111.0,148.0,126.0,177.0,136.0,213.0,100.0,67.0,129.0,99.0,23.0,15.0,1639.0,1758.1920903954801
70,Butler - Merriwa - Ridgewood,11.0,18.0,37.0,39.0,78.0,109.0,147.0,261.0,285.0,424.0,420.0,636.0,377.0,193.0,348.0,211.0,53.0,33.0,3680.0,2003.6163522012578
71,Carramar,18.0,12.0,30.0,36.0,60.0,71.0,121.0,175.0,214.0,305.0,328.0,558.0,337.0,269.0,437.0,300.0,68.0,53.0,3392.0,2117.0250896057346
72,Clarkson,8.0,11.0,24.0,36.0,62.0,84.0,121.0,145.0,179.0,248.0,236.0,339.0,203.0,130.0,236.0,116.0,26.0,37.0,2241.0,1972.0338983050847
73,Girrawheen,17.0,14.0,33.0,27.0,62.0,71.0,85.0,126.0,136.0,170.0,106.0,134.0,29.0,24.0,51.0,43.0,14.0,5.0,1147.0,1603.5294117647059
74,Madeley - Darch - Landsdale,30.0,27.0,56.0,61.0,83.0,136.0,186.0,255.0,232.0,312.0,278.0,595.0,315.0,341.0,643.0,786.0,167.0,102.0,4605.0,2233.0158730158732
75,Marangaroo,16.0,23.0,46.0,27.0,60.0,69.0,110.0,105.0,105.0,152.0,123.0,187.0,96.0,67.0,142.0,103.0,22.0,6.0,1459.0,1827.6422764227643
76,Mindarie - Quinns Rocks - Jindalee,22.0,28.0,33.0,37.0,70.0,85.0,144.0,165.0,135.0,193.0,185.0,354.0,172.0,168.0,413.0,558.0,199.0,129.0,3090.0,2309.8837209302324
77,Tapping - Ashby - Sinagra,18.0,12.0,19.0,19.0,39.0,60.0,91.0,106.0,110.0,172.0,182.0,320.0,214.0,184.0,361.0,296.0,73.0,43.0,2319.0,2211.214953271028
78,Wanneroo,15.0,25.0,62.0,51.0,140.0,153.0,187.0,273.0,308.0,366.0,326.0,587.0,355.0,290.0,570.0,432.0,138.0,62.0,4340.0,2090.1192504258943
79,Alkimos - Eglinton,7.0,3.0,8.0,10.0,14.0,14.0,28.0,53.0,87.0,154.0,154.0,256.0,225.0,177.0,355.0,159.0,26.0,16.0,1746.0,2276.0
