,SA2 Name,2011_entire,2016_entire,2011_aus,2016_aus,2016-2011_change_entire,2016-2011_change_aus,2011_overseas,2016_overseas,2016-2011_change_overseas,2011_overseas_percentage,2016_overseas_percentage,2016-2011_overseas_increase_percentage
69,Nollamara - Westminster,15004.0,17770.0,7229.0,7460.0,2766.0,231.0,7775.0,10310.0,2535.0,0.5181951479605439,0.5801913337084975,0.3260450160771704
71,Scarborough,14634.0,15421.0,8238.0,9051.0,787.0,813.0,6396.0,6370.0,-26.0,0.43706437064370646,0.41307308216068994,-0.004065040650406471
72,Stirling - Osborne Park,13239.0,13748.0,7187.0,7196.0,509.0,9.0,6052.0,6552.0,500.0,0.45713422463932324,0.47657841140529533,0.08261731658955718
73,Trigg - North Beach - Watermans Bay,6803.0,7524.0,4783.0,5338.0,721.0,555.0,2020.0,2186.0,166.0,0.2969278259591357,0.29053694843168526,0.08217821782178225
74,Tuart Hill - Joondanna,11207.0,11895.0,5754.0,6068.0,688.0,314.0,5453.0,5827.0,374.0,0.48657089319175517,0.4898696931483817,0.06858609939482863
75,Wembley Downs - Churchlands - Woodlands,12496.0,13952.0,7960.0,8762.0,1456.0,802.0,4536.0,5190.0,654.0,0.36299615877080665,0.3719896788990826,0.14417989417989419
76,Yokine - Coolbinia - Menora,14721.0,15714.0,8538.0,8887.0,993.0,349.0,6183.0,6827.0,644.0,0.4200122274302018,0.43445335369733995,0.1041565583050299
77,Alexander Heights - Koondoola,11480.0,11975.0,6441.0,6327.0,495.0,-114.0,5039.0,5648.0,609.0,0.43893728222996514,0.4716492693110647,0.12085731295892033
78,Butler - Merriwa - Ridgewood,18825.0,23439.0,9762.0,11862.0,4614.0,2100.0,9063.0,11577.0,2514.0,0.4814342629482072,0.4939203890950979,0.27739159218801723
79,Carramar,11196.0,16616.0,5765.0,8373.0,5420.0,2608.0,5431.0,8243.0,2812.0,0.4850839585566274,0.4960881078478575,0.5177683667832811
80,Clarkson,11541.0,12971.0,5914.0,6405.0,1430.0,491.0,5627.0,6566.0,939.0,0.48756606879819775,0.5062061521856449,0.1668740003554292
81,Girrawheen,8270.0,8759.0,4394.0,4471.0,489.0,77.0,3876.0,4288.0,412.0,0.4686819830713422,0.4895536020093618,0.10629514963880293
82,Madeley - Darch - Landsdale,18857.0,25406.0,11470.0,14619.0,6549.0,3149.0,7387.0,10787.0,3400.0,0.39173781619557724,0.4245847437613162,0.46026803844591857
83,Marangaroo,10386.0,10592.0,5926.0,5832.0,206.0,-94.0,4460.0,4760.0,300.0,0.42942422491815907,0.44939577039274925,0.06726457399103136
84,Mindarie - Quinns Rocks - Jindalee,17234.0,18775.0,8410.0,8715.0,1541.0,305.0,8824.0,10060.0,1236.0,0.5120111407682488,0.5358189081225033,0.1400725294650953
86,Tapping - Ashby - Sinagra,12363.0,13260.0,6327.0,6839.0,897.0,512.0,6036.0,6421.0,385.0,0.48823101189031787,0.48423831070889894,0.06378396288933064
87,Wanneroo,22585.0,25622.0,13490.0,14997.0,3037.0,1507.0,9095.0,10625.0,1530.0,0.4027009076820899,0.4146826945593631,0.16822429906542058
88,Armadale - Wungong - Brookdale,15927.0,19045.0,10341.0,11592.0,3118.0,1251.0,5586.0,7453.0,1867.0,0.35072518365040495,0.39133630874245207,0.3342284282133907
90,Camillo - Champion Lakes,5159.0,5532.0,3369.0,3420.0,373.0,51.0,1790.0,2112.0,322.0,0.34696646636945144,0.38177874186550975,0.17988826815642467
91,Forrestdale - Harrisdale - Piara Waters,7403.0,19259.0,4216.0,9595.0,11856.0,5379.0,3187.0,9664.0,6477.0,0.430501148183169,0.5017913702684459,2.0323187951051147
92,Kelmscott,9828.0,10480.0,6152.0,6260.0,652.0,108.0,3676.0,4220.0,544.0,0.37403337403337406,0.4026717557251908,0.14798694232861798
93,Mount Nasura - Mount Richon - Bedfordale,7370.0,7954.0,4420.0,4896.0,584.0,476.0,2950.0,3058.0,108.0,0.40027137042062416,0.38446064873019864,0.03661016949152551
94,Roleystone,6589.0,7033.0,4281.0,4619.0,444.0,338.0,2308.0,2414.0,106.0,0.3502807709819396,0.3432390160671122,0.045927209705372674
95,Seville Grove,9076.0,10270.0,6224.0,6334.0,1194.0,110.0,2852.0,3936.0,1084.0,0.3142353459673865,0.3832521908471276,0.38008415147265073
96,Belmont - Ascot - Redcliffe,13752.0,14321.0,7630.0,7518.0,569.0,-112.0,6122.0,6803.0,681.0,0.4451716114019779,0.47503665945115564,0.11123815746488086
97,East Victoria Park - Carlisle,14956.0,16551.0,8150.0,8722.0,1595.0,572.0,6806.0,7829.0,1023.0,0.45506820005349025,0.4730227780798743,0.1503085512782838
100,Rivervale - Kewdale - Cloverdale,21936.0,25321.0,11841.0,11942.0,3385.0,101.0,10095.0,13379.0,3284.0,0.4602024070021882,0.5283756565696458,0.32530955918771665
101,Victoria Park - Lathlain - Burswood,14253.0,14480.0,6620.0,7126.0,227.0,506.0,7633.0,7354.0,-279.0,0.5355363783063215,0.5078729281767956,-0.03655181448971567
102,Bentley - Wilson - St James,19890.0,20062.0,8323.0,8367.0,172.0,44.0,11567.0,11695.0,128.0,0.5815485168426345,0.5829428770810487,0.011065963516901478
103,Canning Vale - West,10001.0,9993.0,5320.0,5049.0,-8.0,-271.0,4681.0,4944.0,263.0,0.46805319468053197,0.494746322425698,0.05618457594531079
105,Cannington - Queens Park,14920.0,18048.0,6175.0,6441.0,3128.0,266.0,8745.0,11607.0,2862.0,0.5861260053619303,0.6431183510638298,0.3272727272727274
106,Parkwood - Ferndale - Lynwood,13394.0,13803.0,7349.0,7017.0,409.0,-332.0,6045.0,6786.0,741.0,0.45132148723308946,0.49163225385785697,0.1225806451612903
107,Riverton - Shelley - Rossmoyne,13045.0,13486.0,6727.0,6543.0,441.0,-184.0,6318.0,6943.0,625.0,0.4843234955921809,0.514830194275545,0.09892371003482126
109,Willetton,17264.0,18187.0,9038.0,8555.0,923.0,-483.0,8226.0,9632.0,1406.0,0.4764828544949027,0.529609061417496,0.17092146851446643
110,Beckenham - Kenwick - Langford,17522.0,18873.0,9138.0,8845.0,1351.0,-293.0,8384.0,10028.0,1644.0,0.47848419130236275,0.5313410692523711,0.19608778625954204
111,Canning Vale - East,20421.0,23065.0,9328.0,10489.0,2644.0,1161.0,11093.0,12576.0,1483.0,0.5432153175652514,0.5452417082159116,0.13368791129541147
112,Gosnells,18967.0,20285.0,11539.0,11419.0,1318.0,-120.0,7428.0,8866.0,1438.0,0.3916275636632045,0.4370717278777422,0.1935918147549811
113,Huntingdale - Southern River,14364.0,19038.0,8891.0,10256.0,4674.0,1365.0,5473.0,8782.0,3309.0,0.3810219994430521,0.46128795041495957,0.6046044217065594
114,Maddington - Orange Grove - Martin,11708.0,13650.0,6856.0,7001.0,1942.0,145.0,4852.0,6649.0,1797.0,0.4144174923129484,0.4871062271062271,0.3703627370156637
115,Thornlie,22729.0,23153.0,13041.0,12429.0,424.0,-612.0,9688.0,10724.0,1036.0,0.42623960578995995,0.46317971753120546,0.10693641618497107
116,Forrestfield - Wattle Grove,15845.0,18661.0,10496.0,11485.0,2816.0,989.0,5349.0,7176.0,1827.0,0.3375828337014831,0.38454530839719203,0.34155916993830626
117,High Wycombe,11530.0,12308.0,8177.0,8322.0,778.0,145.0,3353.0,3986.0,633.0,0.29080659150043364,0.323854403639909,0.18878616164628692
118,Kalamunda - Maida Vale - Gooseberry Hill,14267.0,14889.0,9138.0,9583.0,622.0,445.0,5129.0,5306.0,177.0,0.35950094623957385,0.35637047484720263,0.03450965100409431
119,Lesmurdie - Bickley - Carmel,11109.0,11586.0,7478.0,7872.0,477.0,394.0,3631.0,3714.0,83.0,0.32685210189936087,0.32055929570170894,0.022858716606995344
120,Byford,7971.0,16112.0,5713.0,10725.0,8141.0,5012.0,2258.0,5387.0,3129.0,0.283276878685234,0.3343470705064548,1.3857395925597875
121,Mundijong,5523.0,6351.0,4104.0,4644.0,828.0,540.0,1419.0,1707.0,288.0,0.25692558392178166,0.26877657061880017,0.2029598308668077
122,Serpentine - Jarrahdale,3858.0,4416.0,2609.0,2988.0,558.0,379.0,1249.0,1428.0,179.0,0.3237428719543805,0.3233695652173913,0.14331465172137703
123,Como,13558.0,14014.0,7935.0,8018.0,456.0,83.0,5623.0,5996.0,373.0,0.41473668682696563,0.427857856429285,0.06633469678107762
124,Manning - Waterford,11046.0,11457.0,6186.0,6456.0,411.0,270.0,4860.0,5001.0,141.0,0.43997827267789247,0.4365017020162346,0.02901234567901234
125,South Perth - Kensington,16697.0,16576.0,9422.0,9510.0,-121.0,88.0,7275.0,7066.0,-209.0,0.43570701323591066,0.4262789575289575,-0.028728522336769813
126,Banjup,13948.0,17533.0,9079.0,10675.0,3585.0,1596.0,4869.0,6858.0,1989.0,0.3490823057069114,0.39114812068670507,0.4085027726432533
129,Coogee,7535.0,8768.0,4955.0,5680.0,1233.0,725.0,2580.0,3088.0,508.0,0.3424021234240212,0.3521897810218978,0.1968992248062016
130,Coolbellup,7612.0,8147.0,5051.0,5137.0,535.0,86.0,2561.0,3010.0,449.0,0.33644245927482924,0.36946115134405305,0.1753221397891449
131,Hamilton Hill,9682.0,10387.0,5645.0,5824.0,705.0,179.0,4037.0,4563.0,526.0,0.41695930592852715,0.43929912390488113,0.1302947733465445
133,North Coogee,594.0,2388.0,339.0,1359.0,1794.0,1020.0,255.0,1029.0,774.0,0.4292929292929293,0.43090452261306533,3.0352941176470587
134,South Lake - Cockburn Central,10885.0,11468.0,7010.0,6825.0,583.0,-185.0,3875.0,4643.0,768.0,0.35599448782728527,0.40486571328915244,0.19819354838709669
135,Spearwood,9009.0,10107.0,5263.0,5618.0,1098.0,355.0,3746.0,4489.0,743.0,0.4158064158064158,0.4441476204610666,0.19834490122797654
136,Success - Hammond Park,10760.0,14904.0,6311.0,8018.0,4144.0,1707.0,4449.0,6886.0,2437.0,0.41347583643122676,0.46202361782071927,0.5477635423690717
137,Yangebup,6999.0,7479.0,4750.0,4830.0,480.0,80.0,2249.0,2649.0,400.0,0.3213316188026861,0.35419173686321703,0.17785682525566915
138,East Fremantle,6929.0,7376.0,4748.0,5122.0,447.0,374.0,2181.0,2254.0,73.0,0.3147640352143166,0.30558568329718006,0.03347088491517658
139,Fremantle,14476.0,14846.0,8390.0,8607.0,370.0,217.0,6086.0,6239.0,153.0,0.42042000552638853,0.42024787821635456,0.025139664804469275
140,Fremantle - South,13411.0,14372.0,8580.0,8993.0,961.0,413.0,4831.0,5379.0,548.0,0.3602266795913802,0.3742694127470081,0.11343407162078245
142,Bertram - Wellard (West),7623.0,14016.0,4793.0,7309.0,6393.0,2516.0,2830.0,6707.0,3877.0,0.37124491669946214,0.4785245433789954,1.3699646643109542
143,Calista,7287.0,7667.0,4425.0,4663.0,380.0,238.0,2862.0,3004.0,142.0,0.392754219843557,0.39180905178035735,0.049615653389238235
146,Parmelia - Orelia,10710.0,10959.0,6870.0,6561.0,249.0,-309.0,3840.0,4398.0,558.0,0.3585434173669468,0.4013139885026006,0.14531249999999996
